timestamp,requests_sent,bytes_sent,cpu_usage,memory_usage,network_bytes_sent,network_bytes_recv,server_status,current_rate,adaptive_factor,HTTP GET Flood_success,HTTP POST Flood_success,Slowloris_success,HTTP HEAD Flood_success,Large File Request_success,Rapid Session Creation_success,HTTP GET Flood_fail,HTTP POST Flood_fail,Slowloris_fail,HTTP HEAD Flood_fail,Large File Request_fail,Rapid Session Creation_fail
1727036975.8045776,0,0,22.7,50.7,465955491,23058253829,UP,100,1.0,0,0,0,0,0,0,0,0,0,0,0,0
1727036977.8073182,100,102400,7.0,50.7,466222073,23058512262,UP,100,1.0,40,18,18,10,10,4,0,0,0,0,0,0
1727036979.8094661,200,204800,2.0,50.7,466400304,23058699366,UP,100,1.0,81,41,29,25,19,5,0,0,0,0,0,0
1727036981.812433,300,307200,1.5,50.8,466629500,23058904947,UP,100,1.0,122,60,39,40,28,11,0,0,0,0,0,0
1727036983.81458,400,409600,3.0,51.1,466818675,23059095090,UP,100,1.0,168,78,47,52,39,16,0,0,0,0,0,0
1727036985.8164535,500,512000,8.6,50.7,467002363,23059284050,UP,100,1.0,208,100,55,71,49,17,0,0,0,0,0,0
1727036987.818558,600,614400,4.0,50.8,467207816,23059477771,UP,100,1.0,254,118,70,85,55,18,0,0,0,0,0,0
1727036989.8206468,700,716800,2.0,50.8,467375583,23059648562,UP,100,1.0,292,136,82,106,60,24,0,0,0,0,0,0
1727036991.8227956,800,819200,9.5,50.9,467537226,23059814893,UP,100,1.0,332,155,91,126,71,25,0,0,0,0,0,0
1727036993.8238502,900,921600,4.5,50.4,467725110,23059993978,UP,100,1.0,372,179,102,136,81,30,0,0,0,0,0,0
1727036995.8267603,1021,1045504,6.0,50.6,467918386,23060192852,UP,110.00000000000001,1.1,420,200,118,154,96,33,0,0,0,0,0,0
1727036997.829058,1167,1195008,4.0,50.8,468121254,23060380324,UP,121.00000000000001,1.2100000000000002,480,224,136,179,110,38,0,0,0,0,0,0
1727036999.8314066,1344,1376256,2.0,49.5,468444554,23060722657,UP,133.10000000000005,1.3310000000000004,551,258,155,210,129,41,0,0,0,0,0,0
1727037001.833639,1558,1595392,0.5,49.8,468790987,23061081324,UP,146.41000000000005,1.4641000000000006,631,306,182,251,141,47,0,0,0,0,0,0
1727037003.8357394,1817,1860608,11.6,50.0,469200873,23061504720,UP,161.05100000000007,1.6105100000000008,736,353,223,288,161,56,0,0,0,0,0,0
1727037005.8378265,2130,2181120,6.5,50.1,469674325,23061935225,UP,177.1561000000001,1.771561000000001,852,423,265,332,193,65,0,0,0,0,0,0
1727037007.8398104,2509,2569216,7.5,50.1,470228990,23062455578,UP,194.87171000000015,1.9487171000000014,997,511,316,383,227,75,0,0,0,0,0,0
1727037009.842086,2909,2978816,2.0,50.2,470798443,23062988131,UP,200.0,2.0,1134,593,371,458,263,90,0,0,0,0,0,0
1727037011.8442643,3309,3388416,1.0,50.4,471631154,23064004417,UP,200.0,2.0,1278,680,429,522,294,106,0,0,0,0,0,0
1727037013.8462715,3709,3798016,16.5,50.2,472241185,23064640124,UP,200.0,2.0,1440,743,480,589,337,120,0,0,0,0,0,0
1727037015.8491323,4109,4207616,48.8,49.9,472883548,23065306139,UP,200.0,2.0,1611,825,524,647,373,129,0,0,0,0,0,0
1727037017.851343,4509,4617216,4.5,49.9,473563334,23065983364,UP,200.0,2.0,1766,901,583,705,411,143,0,0,0,0,0,0
1727037019.8530614,4909,5026816,5.5,49.9,474200815,23066644045,UP,200.0,2.0,1921,979,649,769,442,149,0,0,0,0,0,0
1727037021.8556585,5309,5436416,18.6,50.1,474838768,23067307752,UP,200.0,2.0,2077,1062,700,836,478,156,0,0,0,0,0,0
1727037023.8577607,5709,5846016,18.1,49.9,475424285,23067843002,UP,200.0,2.0,2251,1145,749,893,505,166,0,0,0,0,0,0
1727037025.8598585,6109,6255616,10.6,49.8,476001305,23068378608,UP,200.0,2.0,2407,1228,791,962,545,176,0,0,0,0,0,0
1727037027.8619316,6509,6665216,7.6,50.2,476550720,23068892785,UP,200.0,2.0,2574,1298,845,1031,578,183,0,0,0,0,0,0
1727037029.8640149,6909,7074816,13.6,50.2,477126597,23069424545,UP,200.0,2.0,2723,1382,896,1104,611,193,0,0,0,0,0,0
1727037031.8662992,7103,7273472,5.0,50.3,477497571,23069794775,UP,200.0,2.0,2801,1416,924,1127,634,201,0,0,0,0,0,0
1727037033.8684304,7103,7273472,16.1,50.7,477503269,23069802922,UP,200.0,2.0,2801,1416,924,1127,634,201,0,0,0,0,0,0
1727037035.8701975,7103,7273472,12.6,50.2,477525286,23069809227,UP,200.0,2.0,2801,1416,924,1127,634,201,0,0,0,0,0,0
1727037037.8722801,7103,7273472,5.0,50.2,477527521,23069810718,UP,200.0,2.0,2801,1416,924,1127,634,201,0,0,0,0,0,0
1727037039.8743858,7309,7484416,4.0,50.2,478042158,23070599173,UP,200.0,2.0,2890,1459,950,1155,647,208,0,0,0,0,0,0
1727037041.8758316,7700,7884800,1.0,50.1,478708143,23071274387,UP,200.0,2.0,3026,1551,1008,1207,687,221,0,0,0,0,0,0
1727037043.8781772,7709,7894016,10.7,50.3,478724723,23071290195,UP,200.0,2.0,3029,1552,1010,1209,688,221,0,0,0,0,0,0
1727037045.8799834,8109,8303616,12.1,50.3,479360522,23071948520,UP,200.0,2.0,3184,1626,1065,1277,722,235,0,0,0,0,0,0
1727037047.8820293,8509,8713216,0.5,50.4,480020849,23072618094,UP,200.0,2.0,3340,1710,1120,1338,756,245,0,0,0,0,0,0
1727037049.8840833,8909,9122816,3.0,50.5,480670539,23073290696,UP,200.0,2.0,3496,1797,1176,1392,787,261,0,0,0,0,0,0
1727037051.8862216,9309,9532416,9.5,50.4,481314767,23073962540,UP,200.0,2.0,3654,1888,1230,1447,819,271,0,0,0,0,0,0
1727037053.8886263,9709,9942016,13.1,50.3,481963705,23074620273,UP,200.0,2.0,3814,1962,1292,1504,857,280,0,0,0,0,0,0
1727037055.890502,10109,10351616,2.0,49.9,482585324,23075264454,UP,200.0,2.0,3984,2032,1346,1567,888,292,0,0,0,0,0,0
1727037057.8929658,10374,10622976,1.5,50.3,483029696,23075723846,UP,200.0,2.0,4079,2078,1382,1614,918,303,0,0,0,0,0,0
1727037059.8950443,10509,10761216,2.0,50.3,483247100,23075932559,UP,200.0,2.0,4137,2107,1394,1638,925,308,0,0,0,0,0,0
1727037061.897102,10909,11170816,10.0,50.5,483864168,23076572839,UP,200.0,2.0,4310,2175,1453,1699,957,315,0,0,0,0,0,0
1727037063.899507,11309,11580416,10.0,50.2,484513934,23077246455,UP,200.0,2.0,4458,2264,1512,1753,986,336,0,0,0,0,0,0
1727037065.9023037,11538,11814912,8.5,50.2,484950852,23077681778,UP,200.0,2.0,4551,2313,1543,1781,1002,348,0,0,0,0,0,0
1727037067.9044325,11709,11990016,12.0,50.4,485215351,23077958056,UP,200.0,2.0,4622,2355,1565,1798,1017,352,0,0,0,0,0,0
1727037069.907608,12109,12399616,7.1,50.6,485834940,23078600447,UP,200.0,2.0,4794,2422,1615,1861,1057,360,0,0,0,0,0,0
1727037071.9099183,12509,12809216,9.5,50.1,486475789,23079255197,UP,200.0,2.0,4958,2499,1671,1921,1088,372,0,0,0,0,0,0
1727037073.911993,12909,13218816,8.0,50.0,487061773,23079802015,UP,200.0,2.0,5113,2592,1726,1979,1115,384,0,0,0,0,0,0
1727037075.9150064,13309,13628416,5.5,50.7,487645635,23080347471,UP,200.0,2.0,5278,2680,1768,2043,1146,394,0,0,0,0,0,0
1727037077.916637,13709,14038016,5.0,50.3,488238544,23080880858,UP,200.0,2.0,5429,2758,1832,2096,1190,404,0,0,0,0,0,0
1727037079.9183471,14109,14447616,8.7,50.2,489073445,23081930725,UP,200.0,2.0,5593,2846,1885,2150,1223,412,0,0,0,0,0,0
1727037081.920183,14509,14857216,46.7,50.6,489769154,23082646210,UP,200.0,2.0,5761,2925,1933,2207,1262,421,0,0,0,0,0,0
1727037083.9222705,14909,15266816,16.2,50.8,490497270,23083397939,UP,200.0,2.0,5918,3007,1999,2263,1290,432,0,0,0,0,0,0
1727037085.9244094,15309,15676416,9.6,51.0,491191364,23084122364,UP,200.0,2.0,6062,3086,2063,2323,1322,453,0,0,0,0,0,0
1727037087.9265285,15709,16086016,4.5,50.9,491837578,23084793550,UP,200.0,2.0,6228,3161,2121,2378,1356,465,0,0,0,0,0,0
1727037089.9310412,16109,16495616,14.6,51.0,492495777,23085467030,UP,200.0,2.0,6380,3236,2177,2443,1398,475,0,0,0,0,0,0
1727037091.93352,16503,16899072,7.0,51.0,493159376,23086151726,UP,200.0,2.0,6543,3317,2228,2501,1427,487,0,0,0,0,0,0
1727037093.9357421,16509,16905216,0.5,51.0,493178659,23086174588,UP,200.0,2.0,6546,3318,2228,2502,1428,487,0,0,0,0,0,0
1727037095.9380527,16909,17314816,5.1,51.0,493876130,23086882677,UP,200.0,2.0,6711,3398,2284,2563,1454,499,0,0,0,0,0,0
1727037097.9401476,17309,17724416,26.3,50.8,494523490,23087552887,UP,200.0,2.0,6879,3469,2344,2618,1491,508,0,0,0,0,0,0
1727037099.9416823,17709,18134016,8.5,50.7,495169588,23088224657,UP,200.0,2.0,7038,3541,2396,2684,1526,524,0,0,0,0,0,0
1727037101.9439723,18109,18543616,6.0,50.2,495817784,23088880432,UP,200.0,2.0,7216,3611,2445,2744,1554,539,0,0,0,0,0,0
1727037103.9477098,18509,18953216,4.5,49.9,496443792,23089522322,UP,200.0,2.0,7373,3687,2504,2799,1597,549,0,0,0,0,0,0
1727037105.9499025,18909,19362816,15.2,49.9,497090141,23090201221,UP,200.0,2.0,7529,3769,2552,2863,1635,561,0,0,0,0,0,0
1727037107.952057,19309,19772416,4.5,50.1,497721783,23090843826,UP,200.0,2.0,7687,3839,2612,2930,1671,570,0,0,0,0,0,0
1727037109.9542158,19709,20182016,9.5,50.3,498345789,23091488754,UP,200.0,2.0,7846,3908,2670,2992,1708,585,0,0,0,0,0,0
1727037111.9562778,20109,20591616,17.2,50.1,498995394,23092161693,UP,200.0,2.0,8009,3997,2716,3050,1739,598,0,0,0,0,0,0
1727037113.9582958,20509,21001216,4.5,50.3,499659142,23092832452,UP,200.0,2.0,8170,4079,2764,3109,1776,611,0,0,0,0,0,0
1727037115.9604993,20909,21410816,13.7,50.3,500229190,23093366500,UP,200.0,2.0,8325,4163,2818,3165,1812,626,0,0,0,0,0,0
1727037117.9625688,21309,21820416,4.5,50.1,503992777,23093937303,UP,200.0,2.0,8506,4247,2862,3205,1854,635,0,0,0,0,0,0
1727037119.9647563,21709,22230016,9.1,50.3,504778539,23094858650,UP,200.0,2.0,8650,4334,2912,3276,1884,653,0,0,0,0,0,0
1727037121.9666355,22109,22639616,15.5,50.1,505396628,23095501541,UP,200.0,2.0,8822,4404,2970,3334,1920,659,0,0,0,0,0,0
1727037123.96898,22509,23049216,5.5,50.3,506030658,23096157913,UP,200.0,2.0,8980,4478,3038,3394,1953,666,0,0,0,0,0,0
1727037125.971649,22909,23458816,13.7,50.2,506687586,23096824724,UP,200.0,2.0,9139,4558,3094,3442,1992,684,0,0,0,0,0,0
1727037127.9737856,23309,23868416,12.6,50.5,507317583,23097477221,UP,200.0,2.0,9306,4633,3147,3505,2022,696,0,0,0,0,0,0
1727037129.9758866,23709,24278016,6.5,50.6,507963620,23098147030,UP,200.0,2.0,9471,4720,3199,3558,2051,710,0,0,0,0,0,0
1727037131.9779704,24011,24587264,2.5,50.6,508497463,23098681654,UP,200.0,2.0,9603,4784,3240,3593,2075,716,0,0,0,0,0,0
1727037133.9804509,24109,24687616,1.5,50.6,508646682,23098835575,UP,200.0,2.0,9636,4807,3251,3614,2082,719,0,0,0,0,0,0
1727037135.9826493,24509,25097216,8.7,50.6,509268619,23099484403,UP,200.0,2.0,9796,4875,3321,3667,2114,736,0,0,0,0,0,0
1727037137.9849205,24909,25506816,5.0,50.8,509931960,23100150194,UP,200.0,2.0,9953,4947,3365,3732,2157,755,0,0,0,0,0,0
1727037139.9874449,25309,25916416,5.0,50.4,510604876,23100849543,UP,200.0,2.0,10097,5041,3431,3775,2200,765,0,0,0,0,0,0
1727037141.9892936,25709,26326016,0.5,50.5,511243086,23101515332,UP,200.0,2.0,10264,5122,3484,3840,2226,773,0,0,0,0,0,0
1727037143.9914682,26109,26735616,9.1,50.7,511841672,23102061309,UP,200.0,2.0,10410,5209,3543,3894,2271,782,0,0,0,0,0,0
1727037145.993335,26509,27145216,11.6,50.6,512417359,23102597948,UP,200.0,2.0,10575,5296,3600,3956,2292,790,0,0,0,0,0,0
1727037147.9954624,26909,27554816,20.1,50.7,512984493,23103126006,UP,200.0,2.0,10755,5374,3652,4001,2323,804,0,0,0,0,0,0
1727037150.000022,27309,27964416,14.7,50.4,513556824,23103654418,UP,200.0,2.0,10916,5457,3713,4055,2353,815,0,0,0,0,0,0
1727037152.0024312,27466,28125184,6.0,50.6,513924274,23104021058,UP,200.0,2.0,10984,5492,3733,4071,2366,820,0,0,0,0,0,0
1727037154.0047538,27466,28125184,5.5,50.6,513929972,23104029073,UP,200.0,2.0,10984,5492,3733,4071,2366,820,0,0,0,0,0,0
1727037156.006764,27466,28125184,15.2,50.5,513951989,23104035378,UP,200.0,2.0,10984,5492,3733,4071,2366,820,0,0,0,0,0,0
1727037158.008943,27466,28125184,10.1,50.5,513954224,23104036869,UP,200.0,2.0,10984,5492,3733,4071,2366,820,0,0,0,0,0,0
1727037160.0112023,27466,28125184,12.5,50.5,513957506,23104038975,UP,200.0,2.0,10984,5492,3733,4071,2366,820,0,0,0,0,0,0
1727037162.0134718,27466,28125184,5.5,50.5,513978226,23104044492,UP,200.0,2.0,10984,5492,3733,4071,2366,820,0,0,0,0,0,0
1727037164.0156598,27466,28125184,6.5,50.6,513981499,23104046541,UP,200.0,2.0,10984,5492,3733,4071,2366,820,0,0,0,0,0,0
1727037166.0179145,27466,28125184,33.8,50.6,514531680,23104871032,UP,200.0,2.0,10984,5492,3733,4071,2366,820,0,0,0,0,0,0
1727037168.021941,27709,28374016,14.4,50.1,514670122,23104977639,UP,200.0,2.0,11073,5549,3764,4111,2388,824,0,0,0,0,0,0
1727037170.0241432,28109,28783616,6.5,50.4,515316331,23105647028,UP,200.0,2.0,11229,5627,3823,4168,2422,840,0,0,0,0,0,0
1727037172.0262904,28509,29193216,6.5,50.6,515987134,23106341088,UP,200.0,2.0,11385,5712,3869,4232,2457,854,0,0,0,0,0,0
1727037174.0287523,28851,29543424,2.5,50.6,516575407,23106928508,UP,200.0,2.0,11514,5776,3928,4284,2480,869,0,0,0,0,0,0
1727037176.0342698,28909,29602816,3.5,50.6,516668240,23107027537,UP,200.0,2.0,11541,5782,3937,4293,2485,871,0,0,0,0,0,0
1727037178.0365522,29094,29792256,32.5,50.6,517219080,23107575247,UP,200.0,2.0,11621,5813,3965,4317,2498,880,0,0,0,0,0,0
1727037182.4534328,0,0,21.1,50.2,517707020,23108029172,UP,10,1.0,0,0,0,0,0,0,0,0,0,0,0,0
1727037184.4559622,10,10240,2.5,50.2,517755667,23108081783,UP,10,1.0,5,1,1,0,3,0,0,0,0,0,0,0
1727037186.4583204,20,20480,11.7,50.3,518352825,23108454257,UP,10,1.0,7,2,2,3,6,0,0,0,0,0,0,0
1727037188.460495,30,30720,9.9,50.4,518418270,23108538012,UP,10,1.0,13,3,2,4,8,0,0,0,0,0,0,0
1727037190.4623222,40,40960,3.5,50.4,518467486,23108578365,UP,10,1.0,15,5,4,5,11,0,0,0,0,0,0,0
1727037192.4644732,50,51200,8.1,50.6,518541889,23108638219,UP,10,1.0,17,6,8,8,11,0,0,0,0,0,0,0
1727037194.4667292,60,61440,6.5,50.6,518659229,23108779265,UP,10,1.0,21,8,9,10,12,0,0,0,0,0,0,0
1727037196.469725,70,71680,7.1,50.6,518789397,23108875942,UP,10,1.0,26,10,11,11,12,0,0,0,0,0,0,0
1727037198.4721067,80,81920,17.7,50.5,518872124,23108937194,UP,10,1.0,31,11,13,13,12,0,0,0,0,0,0,0
1727037200.474479,90,92160,7.0,50.5,518940891,23108996039,UP,10,1.0,38,11,13,14,13,1,0,0,0,0,0,0
1727037202.4766881,102,104448,7.5,50.5,519058930,23109110301,UP,11.0,1.1,44,11,13,18,14,2,0,0,0,0,0,0
1727037204.4793231,116,118784,7.6,50.0,519183348,23109215281,UP,12.100000000000001,1.2100000000000002,49,13,16,19,16,3,0,0,0,0,0,0
1727037206.4815385,133,136192,6.1,50.1,519293172,23109299535,UP,13.310000000000004,1.3310000000000004,54,17,17,21,20,4,0,0,0,0,0,0
1727037208.4839067,154,157696,13.6,50.6,519407023,23109425975,UP,14.641000000000005,1.4641000000000006,62,19,22,23,23,5,0,0,0,0,0,0
1727037210.4862587,179,183296,5.5,50.6,519527387,23109507848,UP,16.105100000000007,1.6105100000000008,71,19,29,25,29,6,0,0,0,0,0,0
1727037212.4883564,210,215040,4.0,50.6,519645340,23109615035,UP,17.715610000000012,1.771561000000001,81,21,36,30,34,8,0,0,0,0,0,0
1727037214.4905674,247,252928,9.2,50.1,519837595,23109775516,UP,19.487171000000014,1.9487171000000014,92,24,44,36,42,9,0,0,0,0,0,0
1727037216.4945588,287,293888,7.5,50.2,519984194,23109898035,UP,20.0,2.0,108,26,53,43,48,9,0,0,0,0,0,0
1727037218.4984705,327,334848,8.5,50.2,520132166,23110034523,UP,20.0,2.0,126,28,59,49,55,10,0,0,0,0,0,0
1727037220.5007296,367,375808,11.6,50.3,520251298,23110139260,UP,20.0,2.0,143,31,69,51,61,12,0,0,0,0,0,0
1727037222.5029883,407,416768,3.0,50.4,520383486,23110246073,UP,20.0,2.0,158,33,75,55,71,15,0,0,0,0,0,0
1727037224.506283,447,457728,3.0,50.3,520504857,23110349861,UP,20.0,2.0,173,36,84,60,77,17,0,0,0,0,0,0
1727037226.5102882,487,498688,4.0,50.4,520616496,23110452180,UP,20.0,2.0,189,41,89,67,82,19,0,0,0,0,0,0
1727037228.512477,527,539648,8.6,50.3,520751851,23110559624,UP,20.0,2.0,202,48,94,75,89,19,0,0,0,0,0,0
1727037230.5161858,567,580608,10.1,50.5,520878608,23110669055,UP,20.0,2.0,215,52,101,78,101,20,0,0,0,0,0,0
1727037232.519612,607,621568,2.0,50.5,520987536,23110769094,UP,20.0,2.0,233,54,112,84,104,20,0,0,0,0,0,0
1727037234.5222638,647,662528,1.5,50.5,521068627,23110824448,UP,20.0,2.0,250,58,116,92,111,20,0,0,0,0,0,0
1727037236.5268006,687,703488,8.6,50.6,521122172,23110873357,UP,20.0,2.0,264,62,128,98,114,21,0,0,0,0,0,0
1727037238.5303533,727,744448,6.5,50.5,521193898,23110942950,UP,20.0,2.0,278,68,134,107,118,22,0,0,0,0,0,0
1727037240.5336988,767,785408,4.5,50.5,521346371,23111092948,UP,20.0,2.0,291,70,140,116,126,24,0,0,0,0,0,0
1727037242.5364132,807,826368,4.0,50.5,521463609,23111200073,UP,20.0,2.0,306,72,146,122,133,28,0,0,0,0,0,0
1727037244.5388255,847,867328,1.5,50.1,521592294,23111314614,UP,20.0,2.0,322,76,155,124,140,30,0,0,0,0,0,0
1727037246.5423083,887,908288,3.0,50.2,521722777,23111420696,UP,20.0,2.0,337,79,166,132,143,30,0,0,0,0,0,0
1727037248.54442,927,949248,6.5,50.3,521845286,23111527930,UP,20.0,2.0,348,84,177,139,149,30,0,0,0,0,0,0
1727037250.546642,967,990208,3.5,50.3,521973454,23111637216,UP,20.0,2.0,360,90,187,142,157,31,0,0,0,0,0,0
1727037252.550134,1007,1031168,9.0,50.0,522051963,23111702196,UP,20.0,2.0,378,92,195,147,161,34,0,0,0,0,0,0
1727037254.552393,1047,1072128,4.0,50.1,522117961,23111768502,UP,20.0,2.0,390,96,202,154,169,36,0,0,0,0,0,0
1727037256.5542176,1087,1113088,3.5,50.1,522191229,23111832799,UP,20.0,2.0,406,99,210,157,177,38,0,0,0,0,0,0
1727037258.5575447,1127,1154048,14.5,50.1,522268757,23111896064,UP,20.0,2.0,421,99,217,164,186,40,0,0,0,0,0,0
1727037260.560705,1167,1195008,3.5,50.2,522335419,23111963476,UP,20.0,2.0,433,103,224,168,198,41,0,0,0,0,0,0
1727037262.5629213,1207,1235968,1.0,50.2,522398537,23112027680,UP,20.0,2.0,446,108,234,175,202,42,0,0,0,0,0,0
1727037264.5650399,1247,1276928,5.5,50.0,522480561,23112103213,UP,20.0,2.0,462,111,242,185,205,42,0,0,0,0,0,0
1727037266.5686052,1287,1317888,2.0,50.1,522583722,23112188818,UP,20.0,2.0,480,112,249,191,213,42,0,0,0,0,0,0
1727037268.5722702,1327,1358848,15.3,50.2,522698534,23112287490,UP,20.0,2.0,498,119,252,194,222,42,0,0,0,0,0,0
1727037270.5759401,1367,1399808,3.5,50.2,522838109,23112388029,UP,20.0,2.0,505,126,261,201,230,44,0,0,0,0,0,0
1727037272.578258,1407,1440768,2.0,50.3,522947675,23112473423,UP,20.0,2.0,525,131,264,206,235,46,0,0,0,0,0,0
1727037274.580756,1447,1481728,16.0,50.4,523067112,23112566741,UP,20.0,2.0,540,137,273,212,239,46,0,0,0,0,0,0
1727037276.5838163,1487,1522688,5.0,50.4,523194591,23112658544,UP,20.0,2.0,551,143,277,221,249,46,0,0,0,0,0,0
